,name,coordinates
0,1837,"[[35.22564466183345, 31.785240089967637], [35.25345005732723, 31.785240089967637], [35.22564466183345, 31.805850767004827], [35.25345005732723, 31.805850767004827]]"
1,1841,"[[35.21339937399695, 31.773891781958863], [35.25184077918086, 31.773891781958863], [35.21339937399695, 31.80534447031794], [35.25184077918086, 31.80534447031794]]"
2,1841_2,"[[35.21208333352944, 31.780036267696243], [35.24081381733826, 31.780036267696243], [35.21208333352944, 31.816400624294616], [35.24081381733826, 31.816400624294616]]"
3,1842,"[[35.21523356027038, 31.780326445361673], [35.245948905957725, 31.780326445361673], [35.21523356027038, 31.81221138813484], [35.245948905957725, 31.81221138813484]]"
4,1843,"[[35.21784977050822, 31.778424688995813], [35.26377546920578, 31.778424688995813], [35.21784977050822, 31.80819635657364], [35.26377546920578, 31.80819635657364]]"
5,1845,"[[35.208327168783775, 31.776308900041922], [35.24579417975211, 31.776308900041922], [35.208327168783775, 31.81569440301742], [35.24579417975211, 31.81569440301742]]"
6,1845_2,"[[35.21519442178404, 31.781001499115913], [35.244071240053536, 31.781001499115913], [35.21519442178404, 31.81392153624051], [35.244071240053536, 31.81392153624051]]"
7,1846,"[[35.2195238188581, 31.781494340440545], [35.26538742173383, 31.781494340440545], [35.2195238188581, 31.81120450179466], [35.26538742173383, 31.81120450179466]]"
8,1846_2,"[[35.21458147260849, 31.7823682039778], [35.2431574261982, 31.7823682039778], [35.21458147260849, 31.813860300714023], [35.2431574261982, 31.813860300714023]]"
9,1846_3,"[[35.21119067592158, 31.778031476503813], [35.24489195209974, 31.778031476503813], [35.21119067592158, 31.81823086683451], [35.24489195209974, 31.81823086683451]]"
10,1849,"[[35.21060712505368, 31.779388748126582], [35.24329742831459, 31.779388748126582], [35.21060712505368, 31.81340651377117], [35.24329742831459, 31.81340651377117]]"
11,1852,"[[35.214787724650606, 31.777088541628665], [35.24390786186191, 31.777088541628665], [35.214787724650606, 31.80658763319256], [35.24390786186191, 31.80658763319256]]"
12,1852_2,"[[35.205195755587575, 31.77597134282708], [35.246826409420215, 31.77597134282708], [35.205195755587575, 31.8198180441171], [35.246826409420215, 31.8198180441171]]"
13,1852_3,"[[35.20121158775259, 31.775008550290426], [35.24498428973678, 31.775008550290426], [35.20121158775259, 31.826594980126078], [35.24498428973678, 31.826594980126078]]"
14,1853,"[[35.21656391052957, 31.78077256288207], [35.26317139505826, 31.78077256288207], [35.21656391052957, 31.80973114879668], [35.26317139505826, 31.80973114879668]]"
15,1853_2,"[[35.2103490268724, 31.777572921564524], [35.24381370916741, 31.777572921564524], [35.2103490268724, 31.81196597260281], [35.24381370916741, 31.81196597260281]]"
16,1853_3,"[[35.212132777525625, 31.777241448703833], [35.24268923842709, 31.777241448703833], [35.212132777525625, 31.809556788638638], [35.24268923842709, 31.809556788638638]]"
17,1854,"[[35.210887238592655, 31.779571826180327], [35.2446329301635, 31.779571826180327], [35.210887238592655, 31.81166083111749], [35.2446329301635, 31.81166083111749]]"
18,1855,"[[35.20955883252061, 31.780981175408474], [35.2401906576571, 31.780981175408474], [35.20955883252061, 31.81651843353598], [35.2401906576571, 31.81651843353598]]"
19,1856,"[[35.20906965657433, 31.781004299396894], [35.274673034798866, 31.781004299396894], [35.20906965657433, 31.822178095726773], [35.274673034798866, 31.822178095726773]]"
20,1856_2,"[[35.20695142596074, 31.776586127440627], [35.24728631413382, 31.776586127440627], [35.20695142596074, 31.826135498739497], [35.24728631413382, 31.826135498739497]]"
21,1856_3,"[[35.21186799913057, 31.7772936673896], [35.24486669077798, 31.7772936673896], [35.21186799913057, 31.81305915063451], [35.24486669077798, 31.81305915063451]]"
22,1858_2,"[[35.213454919292566, 31.775247030270158], [35.25949188250039, 31.775247030270158], [35.213454919292566, 31.813091550769894], [35.25949188250039, 31.813091550769894]]"
23,1859,"[[35.21432729448065, 31.770208429778233], [35.25733099589272, 31.770208429778233], [35.21432729448065, 31.799743652365578], [35.25733099589272, 31.799743652365578]]"
24,186-,"[[35.22139056008861, 31.78080503448302], [35.25174838282351, 31.78080503448302], [35.22139056008861, 31.806897008152706], [35.25174838282351, 31.806897008152706]]"
25,1860,"[[35.2109378193848, 31.779566518738736], [35.24370208781909, 31.779566518738736], [35.2109378193848, 31.814691931874123], [35.24370208781909, 31.814691931874123]]"
26,1860_2,"[[35.20618906842117, 31.777157084980722], [35.238678357002044, 31.777157084980722], [35.20618906842117, 31.817716884210025], [35.238678357002044, 31.817716884210025]]"
27,1861,"[[35.21515478753734, 31.781395754224103], [35.24051746099596, 31.781395754224103], [35.21515478753734, 31.808570138351936], [35.24051746099596, 31.808570138351936]]"
28,1864,"[[35.213118494742986, 31.779029751793267], [35.26102992600713, 31.779029751793267], [35.213118494742986, 31.81073676907701], [35.26102992600713, 31.81073676907701]]"
29,1865,"[[35.21674748892478, 31.779874558608796], [35.2368043943726, 31.779874558608796], [35.21674748892478, 31.80559724202784], [35.2368043943726, 31.80559724202784]]"
30,1867,"[[35.21771487103947, 31.780707485293178], [35.24410697008284, 31.780707485293178], [35.21771487103947, 31.81266229403063], [35.24410697008284, 31.81266229403063]]"
31,1869,"[[35.198531602319854, 31.77492800961014], [35.24616631083058, 31.77492800961014], [35.198531602319854, 31.827769404935434], [35.24616631083058, 31.827769404935434]]"
32,1870,"[[35.214098452039295, 31.791220145948987], [35.24367346129126, 31.791220145948987], [35.214098452039295, 31.83028975928968], [35.24367346129126, 31.83028975928968]]"
33,1874,"[[35.22175251055151, 31.776737832370273], [35.25424241432792, 31.776737832370273], [35.22175251055151, 31.79802008084346], [35.25424241432792, 31.79802008084346]]"
34,1874_2,"[[35.21513440462527, 31.781778959038213], [35.23739220353577, 31.781778959038213], [35.21513440462527, 31.811523444222814], [35.23739220353577, 31.811523444222814]]"
35,1875,"[[35.2164860949535, 31.779797645588587], [35.247545286889135, 31.779797645588587], [35.2164860949535, 31.807667948349337], [35.247545286889135, 31.807667948349337]]"
36,1876,"[[35.20324829547878, 31.772975786914607], [35.26276699488939, 31.772975786914607], [35.20324829547878, 31.815718241924024], [35.26276699488939, 31.815718241924024]]"
37,1876_2,"[[35.21746126216325, 31.778197923987783], [35.268436101824996, 31.778197923987783], [35.21746126216325, 31.80920795210736], [35.268436101824996, 31.80920795210736]]"
38,1876_3,"[[35.22447171269708, 31.78109285572641], [35.24396977867496, 31.78109285572641], [35.22447171269708, 31.793657273914224], [35.24396977867496, 31.793657273914224]]"
39,1876_4,"[[35.21578175314952, 31.7811485167809], [35.23713121959109, 31.7811485167809], [35.21578175314952, 31.807457487373792], [35.23713121959109, 31.807457487373792]]"
40,1876_5,"[[35.21911886021952, 31.783153832399165], [35.235128206855805, 31.783153832399165], [35.21911886021952, 31.802401549274634], [35.235128206855805, 31.802401549274634]]"
41,1876_6,"[[35.21482305250382, 31.778423005788326], [35.241207550157725, 31.778423005788326], [35.21482305250382, 31.80744764524416], [35.241207550157725, 31.80744764524416]]"
42,1876_7,"[[35.20497931149564, 31.77097835931405], [35.24311634225266, 31.77097835931405], [35.20497931149564, 31.82247707158162], [35.24311634225266, 31.82247707158162]]"
43,1877,"[[35.211131990197536, 31.7787031187825], [35.24673497571709, 31.7787031187825], [35.211131990197536, 31.820586242125092], [35.24673497571709, 31.820586242125092]]"
44,1877_2,"[[35.21196386431064, 31.768027068966425], [35.25673399018382, 31.768027068966425], [35.21196386431064, 31.800918892542626], [35.25673399018382, 31.800918892542626]]"
45,1878,"[[35.21301881883436, 31.764061928048502], [35.27530380204415, 31.764061928048502], [35.21301881883436, 31.80304669363529], [35.27530380204415, 31.80304669363529]]"
46,1880,"[[35.22493242378329, 31.781139103991638], [35.242648030137254, 31.781139103991638], [35.22493242378329, 31.79331379429417], [35.242648030137254, 31.79331379429417]]"
47,1880_2,"[[35.18022871366294, 31.76345131934608], [35.23857432870733, 31.76345131934608], [35.18022871366294, 31.835866710043497], [35.23857432870733, 31.835866710043497]]"
48,1880_3,"[[35.20103450860087, 31.774462239788978], [35.26184823807939, 31.774462239788978], [35.20103450860087, 31.81440890478708], [35.26184823807939, 31.81440890478708]]"
49,1881,"[[35.222257668165035, 31.775437564556466], [35.25663926855767, 31.775437564556466], [35.222257668165035, 31.796570205511905], [35.25663926855767, 31.796570205511905]]"
50,1882_2,"[[35.21588520856519, 31.777960423351345], [35.246531530105635, 31.777960423351345], [35.21588520856519, 31.806699718751165], [35.246531530105635, 31.806699718751165]]"
51,1883,"[[35.21244303319678, 31.777180362932615], [35.240334362604415, 31.777180362932615], [35.21244303319678, 31.812748737770043], [35.240334362604415, 31.812748737770043]]"
52,1885,"[[35.210119863003314, 31.778421095482873], [35.23870841434689, 31.778421095482873], [35.210119863003314, 31.81445983134125], [35.23870841434689, 31.81445983134125]]"
53,1886,"[[35.20114452090353, 31.77656922981968], [35.25027455955035, 31.77656922981968], [35.20114452090353, 31.830906936180956], [35.25027455955035, 31.830906936180956]]"
54,1887,"[[35.218139008399554, 31.780675114584557], [35.240206713191924, 31.780675114584557], [35.218139008399554, 31.805293469908868], [35.240206713191924, 31.805293469908868]]"
55,1887_3,"[[35.22385318670188, 31.77504876303325], [35.25391908171352, 31.77504876303325], [35.22385318670188, 31.790412791842467], [35.25391908171352, 31.790412791842467]]"
56,1888,"[[35.212729535738625, 31.779739220891994], [35.24151188807591, 31.779739220891994], [35.212729535738625, 31.816742301122687], [35.24151188807591, 31.816742301122687]]"
57,189-,"[[35.22223370616234, 31.779206216906335], [35.24640922163055, 31.779206216906335], [35.22223370616234, 31.796915022356938], [35.24640922163055, 31.796915022356938]]"
58,1890,"[[35.21763408978999, 31.777901410240567], [35.25218662728458, 31.777901410240567], [35.21763408978999, 31.798288780771742], [35.25218662728458, 31.798288780771742]]"
59,1891,"[[35.222094407189616, 31.766687301577004], [35.26248567591754, 31.766687301577004], [35.222094407189616, 31.792491702225185], [35.26248567591754, 31.792491702225185]]"
60,1893,"[[35.22177632564822, 31.778408992033196], [35.255944525075144, 31.778408992033196], [35.22177632564822, 31.802360822049828], [35.255944525075144, 31.802360822049828]]"
61,1893_2,"[[35.2210630819119, 31.78155688378906], [35.2415902948509, 31.78155688378906], [35.2210630819119, 31.80285056039353], [35.2415902948509, 31.80285056039353]]"
62,1894,"[[35.20453331424222, 31.76556595775045], [35.25164677114909, 31.76556595775045], [35.20453331424222, 31.82304479018295], [35.25164677114909, 31.82304479018295]]"
63,1894_2,"[[35.19383063194257, 31.7800866745518], [35.22297331218337, 31.7800866745518], [35.19383063194257, 31.824964459824145], [35.22297331218337, 31.824964459824145]]"
64,1895,"[[35.221615304998835, 31.78081161785945], [35.25113835977511, 31.78081161785945], [35.221615304998835, 31.797241085785167], [35.25113835977511, 31.797241085785167]]"
65,1895_2,"[[35.220096743828215, 31.7816417846558], [35.240178359965654, 31.7816417846558], [35.220096743828215, 31.804978181653162], [35.240178359965654, 31.804978181653162]]"
66,1895_3,"[[35.20832243527413, 31.78134372113391], [35.2729994357613, 31.78134372113391], [35.20832243527413, 31.850976998517343], [35.2729994357613, 31.850976998517343]]"
67,1896,"[[35.21941631910261, 31.781827892178207], [35.23741859601034, 31.781827892178207], [35.21941631910261, 31.8050524265438], [35.23741859601034, 31.8050524265438]]"
68,1900,"[[35.21662230815967, 31.780455731938776], [35.23784338543946, 31.780455731938776], [35.21662230815967, 31.805713880571375], [35.23784338543946, 31.805713880571375]]"
69,1900_2,"[[35.22337050145264, 31.783313519614797], [35.237600853438195, 31.783313519614797], [35.22337050145264, 31.799437676952273], [35.237600853438195, 31.799437676952273]]"
70,1901,"[[35.21370419957922, 31.76562092221402], [35.25844301798602, 31.76562092221402], [35.21370419957922, 31.796895387040603], [35.25844301798602, 31.796895387040603]]"
71,1902,"[[35.217525821399455, 31.769498428234076], [35.262318739676665, 31.769498428234076], [35.217525821399455, 31.79640032953933], [35.262318739676665, 31.79640032953933]]"
72,1903,"[[35.217788090827376, 31.77970472140508], [35.249589039922334, 31.77970472140508], [35.217788090827376, 31.80767932793725], [35.249589039922334, 31.80767932793725]]"
73,1904,"[[35.2159798609431, 31.77969277869384], [35.238932478212256, 31.77969277869384], [35.2159798609431, 31.80718816881034], [35.238932478212256, 31.80718816881034]]"
74,1905,"[[35.20230031149586, 31.76331217532087], [35.255595210626176, 31.76331217532087], [35.20230031149586, 31.825937598258875], [35.255595210626176, 31.825937598258875]]"
75,1906,"[[35.22339818842709, 31.779602314904533], [35.24599059062529, 31.779602314904533], [35.22339818842709, 31.797098627412453], [35.24599059062529, 31.797098627412453]]"
76,1906_2,"[[35.20611923098925, 31.766915595775288], [35.273560727074006, 31.766915595775288], [35.20611923098925, 31.804166504126286], [35.273560727074006, 31.804166504126286]]"
77,1907,"[[35.22126265361307, 31.776538675131093], [35.2515983492098, 31.776538675131093], [35.22126265361307, 31.797321732445784], [35.2515983492098, 31.797321732445784]]"
78,1907_2,"[[35.223699603725215, 31.772780044485085], [35.253789457727045, 31.772780044485085], [35.223699603725215, 31.786264761377584], [35.253789457727045, 31.786264761377584]]"
79,1907_3,"[[35.20833148424613, 31.767893796746666], [35.25784759885468, 31.767893796746666], [35.20833148424613, 31.80450134915431], [35.25784759885468, 31.80450134915431]]"
80,1912,"[[35.21474983415849, 31.77974146867378], [35.24364880763052, 31.77974146867378], [35.21474983415849, 31.81020850481711], [35.24364880763052, 31.81020850481711]]"
81,1912_2,"[[35.204947105608305, 31.775785165442198], [35.26069956395739, 31.775785165442198], [35.204947105608305, 31.81459346294883], [35.26069956395739, 31.81459346294883]]"
82,1915,"[[35.21962950453143, 31.779736571515702], [35.240894706780296, 31.779736571515702], [35.21962950453143, 31.802918491930228], [35.240894706780296, 31.802918491930228]]"
83,1917,"[[35.222142533511295, 31.779013698893774], [35.247143852034924, 31.779013698893774], [35.222142533511295, 31.797223294965335], [35.247143852034924, 31.797223294965335]]"
84,1917_2,"[[35.20346940326142, 31.76240884021584], [35.26961746539298, 31.76240884021584], [35.20346940326142, 31.805578898953176], [35.26961746539298, 31.805578898953176]]"
85,1917_3,"[[35.20478222935518, 31.77306279896922], [35.26204651642397, 31.77306279896922], [35.20478222935518, 31.815623802601365], [35.26204651642397, 31.815623802601365]]"
86,1917_4,"[[35.204156537305856, 31.764500510046037], [35.26941824703715, 31.764500510046037], [35.204156537305856, 31.808191801698186], [35.26941824703715, 31.808191801698186]]"
87,1918,"[[35.21547638423537, 31.774295127649243], [35.252337795087605, 31.774295127649243], [35.21547638423537, 31.802400083626118], [35.252337795087605, 31.802400083626118]]"
88,1920,"[[35.1154049364838, 31.78372793657271], [35.261875571069176, 31.78372793657271], [35.1154049364838, 31.922447186416623], [35.261875571069176, 31.922447186416623]]"
89,1920_2,"[[35.201488195030876, 31.766195419555377], [35.25131031009499, 31.766195419555377], [35.201488195030876, 31.824499205373225], [35.25131031009499, 31.824499205373225]]"
90,1920_3,"[[35.202169767730304, 31.76651593671012], [35.251111107819156, 31.76651593671012], [35.202169767730304, 31.818495487334836], [35.251111107819156, 31.818495487334836]]"
91,1921,"[[35.20700012245951, 31.76540557162514], [35.26462735743958, 31.76540557162514], [35.20700012245951, 31.804981017601676], [35.26462735743958, 31.804981017601676]]"
92,1921_2,"[[35.20686802801183, 31.767300896704867], [35.26442350224308, 31.767300896704867], [35.20686802801183, 31.804434402725068], [35.26442350224308, 31.804434402725068]]"
93,1922,"[[35.20619853528842, 31.758510304249757], [35.27620470713129, 31.758510304249757], [35.20619853528842, 31.835169828403682], [35.27620470713129, 31.835169828403682]]"
94,1922_2,"[[35.21316826743104, 31.774460497673587], [35.252693566565604, 31.774460497673587], [35.21316826743104, 31.804816176994095], [35.252693566565604, 31.804816176994095]]"
95,1922_4,"[[35.2047633319388, 31.7716284900601], [35.29993132841327, 31.7716284900601], [35.2047633319388, 31.826884356436647], [35.29993132841327, 31.826884356436647]]"
96,1923,"[[35.20634242953042, 31.771136498949932], [35.270379878049724, 31.771136498949932], [35.20634242953042, 31.809538762337326], [35.270379878049724, 31.809538762337326]]"
97,1923_4,"[[35.20414457359775, 31.767511365214034], [35.24905047518903, 31.767511365214034], [35.20414457359775, 31.8148998572146], [35.24905047518903, 31.8148998572146]]"
98,1924,"[[35.20702591777795, 31.768692399881697], [35.265560604548895, 31.768692399881697], [35.20702591777795, 31.825274412726554], [35.265560604548895, 31.825274412726554]]"
99,1924_2,"[[35.218017523349275, 31.770131344222804], [35.25360398805364, 31.770131344222804], [35.218017523349275, 31.794937974969375], [35.25360398805364, 31.794937974969375]]"
100,1924_3,"[[35.20557958173401, 31.766786268332062], [35.25154038507098, 31.766786268332062], [35.20557958173401, 31.812751998497696], [35.25154038507098, 31.812751998497696]]"
101,1925_2,"[[35.203935735879924, 31.766102274981396], [35.25272224559942, 31.766102274981396], [35.203935735879924, 31.81840211363579], [35.25272224559942, 31.81840211363579]]"
102,1925_3,"[[35.20473803769888, 31.76644655068499], [35.25107645620868, 31.76644655068499], [35.20473803769888, 31.812899525927634], [35.25107645620868, 31.812899525927634]]"
103,1926,"[[35.19837523240868, 31.756103020909485], [35.260157969027446, 31.756103020909485], [35.19837523240868, 31.813584378928166], [35.260157969027446, 31.813584378928166]]"
104,1929,"[[35.18363370982617, 31.74230847862083], [35.278085999774014, 31.74230847862083], [35.18363370982617, 31.828893343225257], [35.278085999774014, 31.828893343225257]]"
105,1931,"[[35.19648300233412, 31.758166236661097], [35.26570123558408, 31.758166236661097], [35.19648300233412, 31.821477294196832], [35.26570123558408, 31.821477294196832]]"
106,1936_2,"[[35.224022640404456, 31.783127333915747], [35.23992347767207, 31.783127333915747], [35.224022640404456, 31.79994510661439], [35.23992347767207, 31.79994510661439]]"
107,1937,"[[35.20527392198362, 31.758773624143522], [35.26064601572531, 31.758773624143522], [35.20527392198362, 31.81841275265785], [35.26064601572531, 31.81841275265785]]"
